X,Y,Z,Name,ALCALDIAS,AÑO,CVE_EOD17,CVE_EST,EST,FID,Field_1,LINEA,NOMBRE,SISTEMA,TIPO
-99.14500636,19.35323591,0,STC Metro,Coyoacán,1970,5048,STC0223,23,42,STC Metro,2,General Anaya,STC Metro,Intermedia
-99.13953278,19.3437571,0,STC Metro,Coyoacán,1970,5060,STC0224,24,43,STC Metro,2,Tasqueña,STC Metro,Terminal
-99.11950994,19.49533762,0,STC Metro,Gustavo A. Madero,1979,5076,STC0301,1,44,STC Metro,3,Indios Verdes,STC Metro,Terminal
-99.12549792,19.48511415,0,STC Metro,Gustavo A. Madero,1979,5069,STC0302,2,45,STC Metro,3,Deportivo 18 de Marzo,STC Metro,Transbordo
-99.13201368,19.47719201,0,STC Metro,Gustavo A. Madero,1979,5082,STC0303,3,46,STC Metro,3,Potrero,STC Metro,Intermedia
-99.13950623,19.46888013,0,STC Metro,Gustavo A. Madero,1978,5078,STC0304,4,47,STC Metro,3,La Raza,STC Metro,Transbordo
-99.14313308,19.45505814,0,STC Metro,Cuauhtémoc,1970,5083,STC0305,5,48,STC Metro,3,Tlatelolco,STC Metro,Intermedia
-99.14519334,19.44472633,0,STC Metro,Cuauhtémoc,1970,5073,STC0306,6,49,STC Metro,3,Guerrero,STC Metro,Transbordo
-99.14678272,19.43738239,0,STC Metro,Cuauhtémoc,1970,5074,STC0307,7,50,STC Metro,3,Hidalgo,STC Metro,Transbordo
-99.14768331,19.43325035,0,STC Metro,Cuauhtémoc,1970,5077,STC0308,8,51,STC Metro,3,Juárez,STC Metro,Intermedia
-99.14906048,19.42648009,0,STC Metro,Cuauhtémoc,1970,5065,STC0309,9,52,STC Metro,3,Balderas,STC Metro,Transbordo
-99.15036427,19.41948431,0,STC Metro,Cuauhtémoc,1970,5080,STC0310,10,53,STC Metro,3,Niños Héroes/Poder Judicial CDMX,STC Metro,Intermedia
-99.15324536,19.41375875,0,STC Metro,Cuauhtémoc,1970,5075,STC0311,11,54,STC Metro,3,Hospital General,STC Metro,Intermedia
-99.15513469,19.40745315,0,STC Metro,Cuauhtémoc,1980,5066,STC0312,12,55,STC Metro,3,Centro Médico,STC Metro,Transbordo
-99.15603142,19.39592053,0,STC Metro,Benito Juárez,1980,5081,STC0313,13,56,STC Metro,3,Etiopía/Plaza de la Transparencia,STC Metro,Intermedia
-99.1572046,19.38616852,0,STC Metro,Benito Juárez,1980,5072,STC0314,14,57,STC Metro,3,Eugenia,STC Metro,Intermedia
-99.15947917,19.37918444,0,STC Metro,Benito Juárez,1980,5071,STC0315,15,58,STC Metro,3,División del Norte,STC Metro,Intermedia
-99.1645103,19.37119179,0,STC Metro,Benito Juárez,1980,5085,STC0316,16,59,STC Metro,3,Zapata,STC Metro,Transbordo
-99.17086153,19.36135908,0,STC Metro,Benito Juárez,1983,5068,STC0317,17,60,STC Metro,3,Coyoacán,STC Metro,Intermedia
-99.17600109,19.35345902,0,STC Metro,Álvaro Obregón / Coyoacán,1983,5070,STC0318,18,61,STC Metro,3,Viveros/Derechos Humanos,STC Metro,Intermedia
-99.18075666,19.34625183,0,STC Metro,Coyoacán,1983,5079,STC0319,19,62,STC Metro,3,Miguel Ángel de Quevedo,STC Metro,Intermedia
-99.1769736,19.33609927,0,STC Metro,Coyoacán,1983,5067,STC0320,20,63,STC Metro,3,Copilco,STC Metro,Intermedia
-99.17393846,19.32435348,0,STC Metro,Coyoacán,1983,5084,STC0321,21,64,STC Metro,3,Universidad,STC Metro,Terminal
-99.1216956,19.40289157,0,STC Metro,Iztacalco,1982,5094,STC0401,1,65,STC Metro,4,Santa Anita,STC Metro,Terminal / Transbordo
-99.12174359,19.41091506,0,STC Metro,Venustiano Carranza,1982,5091,STC0402,2,66,STC Metro,4,Jamaica,STC Metro,Transbordo
