origen,destino,linea,sistema,tipo_origen,tipo_destino,alcaldia_origen,alcaldia_destino,origen_lon,origen_lat,destino_lon,destino_lat,distancia_track_m,distancia_track_km,distancia_recta_m,distancia_recta_km
Pantitlán,Zaragoza,1,STC Metro,Terminal / Transbordo,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.07473572701159,19.416334085596525,-99.0822888117768,19.41192045593743,1428.6848790504391,1.4286848790504392,931.3027270610756,0.9313027270610756
Zaragoza,Gomez Farías,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.0822888117768,19.41192045593743,-99.09021039171121,19.416478456907367,972.6462619588128,0.9726462619588129,972.6438869316248,0.9726438869316248
Gomez Farías,Boulevard Puerto Aéreo,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.09021039171121,19.416478456907367,-99.09625873241016,19.419941964850207,741.6812249112991,0.7416812249112991,741.6731901277534,0.7416731901277533
Boulevard Puerto Aéreo,Balbuena,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.09625873241016,19.419941964850207,-99.10277436397425,19.42335533557525,781.5817985480589,0.781581798548059,781.3749871028672,0.7813749871028672
Balbuena,Moctezuma,1,STC Metro,Intermedia,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.10277436397425,19.42335533557525,-99.10979926910476,19.42685434666967,832.9325920073807,0.8329325920073807,832.9304743310898,0.8329304743310898
Moctezuma,San Lázaro,1,STC Metro,Intermedia,Transbordo,Venustiano Carranza,Venustiano Carranza,-99.10979926910476,19.42685434666967,-99.11426095239393,19.43005884961391,608.7359332744782,0.6087359332744782,587.4609747211916,0.5874609747211916
San Lázaro,Candelaria,1,STC Metro,Transbordo,Transbordo,Venustiano Carranza,Venustiano Carranza,-99.11426095239393,19.43005884961391,-99.12090955005588,19.42954014071058,1055.6456926392566,1.0556456926392566,700.3053530347609,0.7003053530347608
Candelaria,Merced,1,STC Metro,Transbordo,Intermedia,Venustiano Carranza,Venustiano Carranza,-99.12090955005588,19.42954014071058,-99.12502541851761,19.42548757157406,860.2732465286135,0.8602732465286135,622.7197967896084,0.6227197967896084
Merced,Pino Suárez,1,STC Metro,Intermedia,Transbordo,Venustiano Carranza,Cuauhtémoc,-99.12502541851761,19.42548757157406,-99.13263861199377,19.425923495107927,816.5285242111677,0.8165285242111677,800.6841885764811,0.8006841885764812
Pino Suárez,Isabel La Católica,1,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.13263861199377,19.425923495107927,-99.13783045646255,19.42639351179822,547.515663703638,0.547515663703638,547.5120861943807,0.5475120861943806
Isabel La Católica,Salto del Agua,1,STC Metro,Intermedia,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.13783045646255,19.42639351179822,-99.14340629386963,19.426948189741864,589.9274900591745,0.5899274900591744,588.5549619983352,0.5885549619983352
Salto del Agua,Balderas,1,STC Metro,Transbordo,Transbordo,Cuauhtémoc,Cuauhtémoc,-99.14340629386963,19.426948189741864,-99.14948115142849,19.426997876088905,643.8685112282556,0.6438685112282555,637.7552031571468,0.6377552031571467
Balderas,Cuauhtémoc,1,STC Metro,Transbordo,Intermedia,Cuauhtémoc,Cuauhtémoc,-99.14948115142849,19.426997876088905,-99.15459795134981,19.4256611110838,557.1822220443628,0.5571822220443627,557.1519039112217,0.5571519039112217
