NOMBRE,LINEA,SISTEMA,TIPO,ALCALDIAS,AÑO,CVE_EST,lon,lat,afluencia
Etiopía/Plaza de la Transparencia,3,STC Metro,Intermedia,Benito Juárez,1980,STC0313,-99.15603142,19.39592053,21402.15574
Eugenia,3,STC Metro,Intermedia,Benito Juárez,1980,STC0314,-99.1572046,19.38616852,11515.77869
División del Norte,3,STC Metro,Intermedia,Benito Juárez,1980,STC0315,-99.15947917,19.37918444,12580.11749
Zapata,3,STC Metro,Transbordo,Benito Juárez,1980,STC0316,-99.1645103,19.37119179,13969.93169
Coyoacán,3,STC Metro,Intermedia,Benito Juárez,1983,STC0317,-99.17086153,19.36135908,24564.07377
Viveros/Derechos Humanos,3,STC Metro,Intermedia,Álvaro Obregón / Coyoacán,1983,STC0318,-99.17600109,19.35345902,17200.88798
Miguel Ángel de Quevedo,3,STC Metro,Intermedia,Coyoacán,1983,STC0319,-99.18075666,19.34625183,29393.68306
Copilco,3,STC Metro,Intermedia,Coyoacán,1983,STC0320,-99.1769736,19.33609927,30080.67213
Universidad,3,STC Metro,Terminal,Coyoacán,1983,STC0321,-99.17393846,19.32435348,51590.37978
Santa Anita,4,STC Metro,Terminal / Transbordo,Iztacalco,1982,STC0401,-99.1216956,19.40289157,2924.677596
Jamaica,4,STC Metro,Transbordo,Venustiano Carranza,1982,STC0402,-99.12174359,19.41091506,8540.590164
Fray Servando,4,STC Metro,Intermedia,Venustiano Carranza,1982,STC0403,-99.12053345,19.42159027,7841.691257
Morelos,4,STC Metro,Transbordo,Venustiano Carranza,1981,STC0405,-99.11815212,19.43966416,5368.886612
Canal del Norte,4,STC Metro,Intermedia,Venustiano Carranza,1981,STC0406,-99.11613305,19.44894501,6695.54918
Consulado,4,STC Metro,Transbordo,Gustavo A. Madero,1981,STC0407,-99.11390385,19.4580182,3705.438525
Bondojito,4,STC Metro,Intermedia,Gustavo A. Madero,1981,STC0408,-99.11197678,19.4646312,5088.34153
Talismán,4,STC Metro,Intermedia,Gustavo A. Madero,1981,STC0409,-99.10801224,19.47435831,3016.057377
Martín Carrera,4,STC Metro,Terminal / Transbordo,Gustavo A. Madero,1981,STC0410,-99.10436948,19.48504414,21162.9918
Politécnico,5,STC Metro,Terminal,Gustavo A. Madero,1982,STC0501,-99.14920599,19.5006787,24447.28689
Instituto del Petróleo,5,STC Metro,Transbordo,Gustavo A. Madero,1982,STC0502,-99.14470975,19.48933931,3822.956284
Autobuses del Norte,5,STC Metro,Intermedia,Gustavo A. Madero,1982,STC0503,-99.14065074,19.4790709,18158.78962
Misterios,5,STC Metro,Intermedia,Gustavo A. Madero / Cuauhtémoc,1982,STC0505,-99.13023957,19.4631122,6635.797814
Valle Gómez,5,STC Metro,Intermedia,Gustavo A. Madero / Venustiano Carranza,1982,STC0506,-99.11949099,19.45887214,3911.63388
Eduardo Molina,5,STC Metro,Intermedia,Gustavo A. Madero / Venustiano Carranza,1981,STC0508,-99.1052997,19.45139751,6060.748634
